,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
10,1610612745,Houston Rockets,29,9,20,0.31,48.2,40.7,89.2,0.456,13.1,38.7,0.339,18.5,23.7,0.782,10.7,34.7,45.3,23.0,13.9,10.3,6.0,5.0,22.5,20.8,113.1,7.0,8,26,27,26,19,23,19,19,22,26,10,29,29,19,22,15,16,9,15,30,28,13,30,2,28,27,10,Houston Rockets
11,1610612754,Indiana Pacers,31,13,18,0.419,48.5,39.7,86.8,0.457,10.5,30.1,0.348,16.6,21.0,0.79,9.6,32.9,42.5,21.8,13.3,7.7,4.6,6.0,18.7,20.1,106.5,-1.5,1,19,24,22,8,16,11,20,2,2,17,22,22,22,10,5,4,3,24,18,10,1,11,5,11,11,10,Indiana Pacers
12,1610612746,LA Clippers,29,16,13,0.552,48.2,39.6,89.7,0.442,11.4,33.9,0.337,14.3,18.1,0.79,11.1,35.2,46.3,22.3,15.0,8.9,4.1,4.5,19.2,18.2,104.9,-1.2,8,10,10,10,19,14,22,9,5,9,5,8,5,23,26,19,25,6,10,29,5,22,14,25,7,12,10,LA Clippers
13,1610612747,Los Angeles Lakers,29,16,13,0.552,49.4,40.9,91.8,0.445,12.7,37.8,0.337,16.8,22.8,0.736,11.4,35.9,47.3,25.3,15.7,8.7,3.5,5.7,19.4,19.9,111.2,0.1,8,10,10,10,1,24,29,11,19,25,6,26,28,2,28,26,27,27,6,26,1,4,19,8,25,15,10,Los Angeles Lakers
14,1610612763,Memphis Grizzlies,29,18,11,0.621,48.3,40.1,87.3,0.459,13.1,35.0,0.374,15.8,20.4,0.771,9.6,33.1,42.8,25.3,15.3,7.7,6.2,6.0,18.6,19.1,109.0,-2.1,8,6,6,7,10,18,12,21,22,15,29,14,14,13,9,6,5,26,8,15,29,1,10,19,19,10,10,Memphis Grizzlies
15,1610612748,Miami Heat,29,17,12,0.586,48.3,36.9,83.9,0.439,13.8,40.1,0.345,16.2,20.9,0.779,9.5,32.0,41.4,23.0,15.7,7.3,4.7,3.1,19.6,20.3,103.8,-3.1,8,8,8,9,10,2,1,5,28,29,15,17,17,15,6,2,3,10,6,6,12,30,23,3,3,7,10,Miami Heat
16,1610612749,Milwaukee Bucks,30,19,11,0.633,48.2,39.4,90.1,0.437,14.1,41.7,0.339,13.7,17.9,0.765,10.1,34.3,44.4,23.7,13.9,7.3,4.8,4.4,18.9,17.3,106.6,-4.0,2,5,6,5,23,11,24,3,29,30,8,3,3,12,14,10,12,13,18,8,15,25,12,28,13,5,10,Milwaukee Bucks
17,1610612750,Minnesota Timberwolves,28,13,15,0.464,48.5,38.9,86.7,0.449,12.6,37.3,0.337,18.9,24.3,0.779,11.7,35.7,47.4,25.3,17.4,7.8,5.5,5.7,20.5,22.6,109.3,0.6,18,19,17,19,5,7,8,14,18,22,7,30,30,16,30,22,28,25,1,19,23,5,29,1,21,18,10,Minnesota Timberwolves
18,1610612740,New Orleans Pelicans,30,9,21,0.3,48.2,40.6,86.1,0.471,12.6,34.1,0.369,16.2,20.9,0.776,9.3,33.7,42.9,24.4,13.4,7.7,4.8,4.1,19.3,19.9,109.9,5.9,2,26,28,27,23,21,7,28,17,10,27,16,18,14,4,8,6,21,22,17,16,27,15,7,24,26,10,New Orleans Pelicans
19,1610612752,New York Knicks,29,13,16,0.448,48.3,38.8,88.0,0.441,13.2,37.4,0.354,16.3,20.4,0.799,10.4,34.6,45.1,24.9,12.9,7.4,4.7,5.5,19.1,19.2,107.2,1.3,8,19,21,21,10,5,15,6,24,24,18,18,13,27,20,14,15,23,26,11,12,6,13,15,15,22,10,New York Knicks
