,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS
17,1610612750,Minnesota Timberwolves,28,13,15,0.464,48.5,20.1,16.3,13.7,44.3,18.0,13.6,14.9,44.1,18,19,17,19,19,1,2,8,18,26,24,28,9,10,Minnesota Timberwolves
18,1610612740,New Orleans Pelicans,30,9,21,0.3,48.2,15.3,14.3,12.9,45.5,17.1,11.8,11.8,46.1,2,26,28,27,5,21,9,12,12,22,3,12,16,10,New Orleans Pelicans
19,1610612752,New York Knicks,29,13,16,0.448,48.3,15.5,14.5,10.9,41.9,14.5,12.4,12.2,42.2,8,19,21,21,10,19,7,21,28,3,11,19,4,10,New York Knicks
20,1610612760,Oklahoma City Thunder,27,8,19,0.296,48.0,14.6,10.6,7.8,43.2,16.1,12.6,8.9,44.2,26,28,26,28,28,25,27,30,22,16,13,2,10,10,Oklahoma City Thunder
21,1610612753,Orlando Magic,29,5,24,0.172,48.0,14.0,14.0,10.0,42.6,16.4,13.2,11.1,43.2,8,29,30,29,17,30,11,26,23,18,20,8,6,10,Orlando Magic
22,1610612755,Philadelphia 76ers,30,15,15,0.5,48.5,14.5,10.6,12.7,44.1,14.4,14.4,15.2,45.7,2,13,17,13,4,26,26,13,19,2,27,30,15,10,Philadelphia 76ers
23,1610612756,Phoenix Suns,28,23,5,0.821,48.2,17.0,10.4,11.3,48.9,15.1,13.1,12.0,44.4,18,1,1,1,21,11,29,19,7,7,18,13,11,10,Phoenix Suns
24,1610612757,Portland Trail Blazers,29,11,18,0.379,48.2,16.2,13.2,11.2,43.5,15.8,11.9,12.0,46.6,8,24,24,24,13,14,15,20,21,12,5,14,18,10,Portland Trail Blazers
25,1610612758,Sacramento Kings,29,12,17,0.414,48.5,16.7,14.6,13.2,51.2,18.0,15.8,12.5,52.8,8,23,22,23,9,12,5,10,3,27,30,22,30,10,Sacramento Kings
26,1610612759,San Antonio Spurs,27,10,17,0.37,48.2,16.1,14.3,14.6,54.1,15.1,12.9,10.4,47.4,26,25,22,25,26,15,8,6,1,6,17,3,23,10,San Antonio Spurs
27,1610612761,Toronto Raptors,28,13,15,0.464,48.2,19.6,15.9,16.3,44.5,14.6,15.3,10.6,43.0,18,19,17,19,21,2,3,2,16,4,28,4,5,10,Toronto Raptors
28,1610612762,Utah Jazz,27,20,7,0.741,48.0,15.1,14.7,10.6,48.0,17.2,13.2,11.4,46.7,26,4,3,3,28,24,4,23,9,23,19,9,19,10,Utah Jazz
29,1610612764,Washington Wizards,30,15,15,0.5,48.7,14.2,12.5,8.5,50.2,15.3,12.7,8.4,49.2,2,13,17,13,2,28,18,29,4,8,15,1,29,10,Washington Wizards
