,,,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,,Shooting,Shooting,Shooting,,Per Game,Per Game,Per Game,Per Game
Year,Age,Team,Lg,Round,W/L,Opp,,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,MP,PTS,TRB,AST
2013,24,GSW,2013,WC1,W (4-2),DEN,,6,4,2,239,51,109,23,52,21,21,2,26,56,13,1,20,22,146,,.468,.442,1.000,,39.9,24.3,4.3,9.3
2013,24,GSW,2013,WCS,L (2-4),SAS,,6,2,4,257,51,126,19,54,14,17,3,20,41,7,1,20,13,135,,.405,.352,.824,,42.9,22.5,3.3,6.8
2014,25,GSW,2014,WC1,L (3-4),LAC,,7,3,4,296,51,116,22,57,37,42,4,25,59,12,1,26,18,161,,.440,.386,.881,,42.4,23.0,3.6,8.4
2015,26,GSW,2015,WC1,W (4-0),NOP,,4,4,0,159,43,95,20,48,29,34,4,21,29,5,0,16,12,135,,.453,.417,.853,,39.8,33.8,5.3,7.3
2015,26,GSW,2015,WCS,W (4-2),MEM,,6,4,2,228,51,121,26,64,19,24,6,30,39,13,1,24,9,147,,.421,.406,.792,,37.9,24.5,5.0,6.5
2015,26,GSW,2015,WCF,W (4-1),HOU,,5,4,1,184,52,101,27,55,25,31,5,23,28,10,1,14,13,156,,.515,.491,.806,,36.8,31.2,4.6,5.6
2015,26,GSW,2015,FIN,W (4-2),CLE,,6,4,2,255,54,122,25,65,23,26,5,31,38,11,1,28,13,156,,.443,.385,.885,,42.5,26.0,5.2,6.3
2016,27,GSW,2016,WC1,W (4-1),HOU,,2,2,0,38,10,22,6,14,4,4,1,7,7,4,0,9,0,30,,.455,.429,1.000,,19.2,15.0,3.5,3.5
2016,27,GSW,2016,WCS,W (4-1),POR,,2,2,0,73,26,52,10,27,7,7,1,14,19,1,0,8,4,69,,.500,.370,1.000,,36.5,34.5,7.0,9.5
2016,27,GSW,2016,WCF,W (4-3),OKC,,7,4,3,257,62,140,32,77,39,44,4,44,41,15,0,28,10,195,,.443,.416,.886,,36.7,27.9,6.3,5.9
2016,27,GSW,2016,FIN,L (3-4),CLE,,7,3,4,246,50,124,32,80,26,28,8,34,26,6,5,30,25,158,,.403,.400,.929,,35.1,22.6,4.9,3.7
2017,28,GSW,2017,WC1,W (4-0),POR,,4,4,0,135,37,82,19,45,26,30,4,21,26,8,3,14,7,119,,.451,.422,.867,,33.7,29.8,5.3,6.5
2017,28,GSW,2017,WCS,W (4-0),UTA,,4,4,0,140,30,61,13,33,25,26,3,21,22,3,1,9,8,98,,.492,.394,.962,,35.0,24.5,5.3,5.5
2017,28,GSW,2017,WCF,W (4-0),SAS,,4,4,0,137,44,78,21,45,17,19,4,24,19,12,0,16,8,126,,.564,.467,.895,,34.3,31.5,6.0,4.8
2017,28,GSW,2017,FIN,W (4-1),CLE,,5,4,1,189,40,91,19,49,35,39,11,40,47,11,0,19,14,134,,.440,.388,.897,,37.7,26.8,8.0,9.4
2018,29,GSW,2018,WCS,W (4-1),NOP,,4,3,1,125,32,67,15,34,19,19,2,21,14,8,2,15,6,98,,.478,.441,1.000,,31.2,24.5,5.3,3.5
2018,29,GSW,2018,WCF,W (4-3),HOU,,7,4,3,268,68,145,27,75,12,14,4,46,40,12,6,17,21,175,,.469,.360,.857,,38.3,25.0,6.6,5.7
2018,29,GSW,2018,FIN,W (4-0),CLE,,4,4,0,162,37,92,22,53,14,14,3,24,27,6,3,11,11,110,,.402,.415,1.000,,40.6,27.5,6.0,6.8
2019,30,GSW,2019,WC1,W (4-2),LAC,,6,4,2,201,44,88,24,48,36,37,3,40,31,7,2,17,21,148,,.500,.500,.973,,33.5,24.7,6.7,5.2
2019,30,GSW,2019,WCS,W (4-2),HOU,,6,4,2,236,48,119,19,68,28,31,3,28,30,6,1,18,24,143,,.403,.279,.903,,39.3,23.8,4.7,5.0
2019,30,GSW,2019,WCF,W (4-0),POR,,4,4,0,159,45,96,26,61,30,32,5,33,29,2,0,14,8,146,,.469,.426,.938,,39.7,36.5,8.3,7.3
2019,30,GSW,2019,FIN,L (2-4),TOR,,6,2,4,250,53,128,23,67,54,57,6,31,36,9,1,17,15,183,,.414,.343,.947,,41.7,30.5,5.2,6.0
