,,,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,,Shooting,Shooting,Shooting,,Per Game,Per Game,Per Game,Per Game
Year,Age,Team,Lg,Round,W/L,Opp,,G,W,L,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,,FG%,3P%,FT%,,MP,PTS,TRB,AST
2000,34,IND,2000,ECS,W (4-2),PHI,,5,4,1,198,44,85,17,36,24,25,3,12,16,5,2,7,6,129,,.518,.472,.960,,39.5,25.8,2.4,3.2
2000,34,IND,2000,ECF,W (4-2),NYK,,6,4,2,249,45,105,17,39,24,26,3,13,11,8,4,6,11,131,,.429,.436,.923,,41.5,21.8,2.2,1.8
2000,34,IND,2000,FIN,L (2-4),LAL,,6,2,4,252,43,104,15,40,45,46,0,16,22,5,2,8,8,146,,.413,.375,.978,,41.9,24.3,2.7,3.7
2001,35,IND,2001,EC1,L (1-3),PHI,,4,1,3,176,41,90,15,35,28,30,7,20,10,3,2,11,3,125,,.456,.429,.933,,44.1,31.3,5.0,2.5
2002,36,IND,2002,EC1,L (2-3),NJN,,5,2,3,198,42,83,13,31,21,24,0,16,14,8,1,14,10,118,,.506,.419,.875,,39.6,23.6,3.2,2.8
2003,37,IND,2003,EC1,L (2-4),BOS,,6,2,4,177,15,53,4,25,21,23,1,14,14,1,1,7,9,55,,.283,.160,.913,,29.5,9.2,2.3,2.3
2004,38,IND,2004,EC1,W (4-0),BOS,,4,4,0,96,11,31,8,19,9,9,0,6,16,8,0,10,5,39,,.355,.421,1.000,,24.0,9.8,1.5,4.0
2004,38,IND,2004,ECS,W (4-2),MIA,,6,4,2,178,17,37,8,21,24,25,0,12,15,6,1,9,7,66,,.459,.381,.960,,29.7,11.0,2.0,2.5
2004,38,IND,2004,ECF,L (2-4),DET,,6,2,4,180,17,44,8,24,14,17,3,19,14,4,2,9,11,56,,.386,.333,.824,,30.0,9.3,3.2,2.3
2005,39,IND,2005,EC1,W (4-3),BOS,,7,4,3,234,32,77,12,34,33,35,4,29,14,9,1,12,14,109,,.416,.353,.943,,33.5,15.6,4.1,2.0
2005,39,IND,2005,ECS,L (2-4),DET,,6,2,4,195,30,66,9,32,15,16,0,11,6,1,0,9,14,84,,.455,.281,.938,,32.4,14.0,1.8,1.0
