,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1996-97,21,MIL,NBA,SG,82,2532,.430,15.2,,.672,.251,.098,.189,.133,.328,,.448,.474,.461,.413,.438,.393,,.388,.778,,.025,21,,.171,.490,,3,1
1997-98,22,MIL,NBA,SG,82,3287,.428,15.8,,.720,.185,.100,.213,.223,.280,,.453,.617,.282,.407,.437,.364,,.385,.761,,.030,35,,.155,.386,,14,1
1998-99,23,MIL,NBA,SG,50,1719,.450,15.2,,.691,.223,.108,.178,.181,.309,,.492,.653,.479,.400,.393,.356,,.419,.851,,.048,31,,.274,.456,,2,0
1999-00,24,MIL,NBA,SG,82,3070,.455,15.1,,.712,.195,.128,.223,.166,.288,,.468,.596,.414,.417,.427,.423,,.421,.855,,.043,54,,.273,.459,,12,0
2000-01,25,MIL,NBA,SG,82,3129,.480,14.7,,.643,.235,.086,.183,.140,.357,,.506,.659,.429,.418,.410,.433,,.437,.856,,.027,31,,.270,.500,,1,0
2001-02,26,MIL,NBA,SG,69,2525,.462,16.9,,.540,.167,.089,.176,.108,.460,,.485,.547,.461,.455,.460,.434,,.449,.769,,.028,27,,.250,.447,,8,0
2002-03,27,TOT,NBA,SG,76,2880,.439,15.7,,.609,.165,.127,.185,.132,.391,,.478,.613,.370,.492,.394,.377,,.327,.796,,.020,25,,.242,.364,,4,0
2002-03,27,MIL,NBA,SG,47,1683,.437,15.8,,.613,.161,.123,.202,.127,.387,,.463,.612,.303,.475,.412,.395,,.412,.805,,.017,14,,.228,.310,,3,0
2002-03,27,SEA,NBA,SG,29,1197,.441,15.5,,.604,.171,.132,.161,.139,.396,,.500,.615,.459,.522,.372,.351,,.213,.782,,.023,11,,.261,.431,,1,0
2003-04,28,SEA,NBA,SG,56,2152,.440,15.3,,.628,.181,.138,.146,.164,.372,,.468,.701,.329,.378,.407,.392,,.371,.797,,.021,20,,.225,.447,,3,0
2004-05,29,SEA,NBA,SG,78,3064,.428,15.8,,.628,.185,.103,.138,.201,.372,,.459,.606,.364,.398,.415,.376,,.311,.804,,.021,27,,.185,.369,,5,0
2005-06,30,SEA,NBA,SG,78,3022,.454,17.2,,.565,.145,.100,.123,.197,.435,,.486,.628,.400,.451,.447,.412,,.337,.751,,.011,16,,.170,.432,,4,0
2006-07,31,SEA,NBA,SG,55,2219,.438,16.2,,.616,.181,.090,.129,.215,.384,,.479,.608,.365,.477,.419,.372,,.306,.806,,.008,9,,.181,.363,,3,0
2007-08,32,BOS,NBA,SG,73,2624,.445,16.7,,.542,.200,.080,.092,.169,.458,,.485,.604,.329,.330,.503,.398,,.537,.806,,.009,9,,.263,.403,,3,0
2008-09,33,BOS,NBA,SG,79,2876,.480,17.0,,.533,.188,.058,.096,.191,.467,,.542,.641,.517,.520,.462,.409,,.540,.925,,.003,3,,.379,.478,,0,0
2009-10,34,BOS,NBA,SG,80,2819,.477,15.8,,.590,.224,.085,.084,.196,.410,,.556,.679,.410,.561,.476,.363,,.643,.917,,.010,10,,.286,.316,,0,0
2010-11,35,BOS,NBA,SG,80,2890,.491,16.3,,.613,.173,.085,.121,.235,.387,,.520,.651,.482,.458,.470,.444,,.622,.958,,.015,14,,.392,.514,,0,0
2011-12,36,BOS,NBA,SG,46,1565,.458,17.4,,.525,.148,.085,.103,.189,.475,,.463,.685,.405,.373,.366,.453,,.642,.934,,.006,2,,.368,.500,,0,0
2012-13,37,MIA,NBA,SG,79,2035,.449,16.9,,.490,.194,.083,.104,.109,.510,,.480,.587,.463,.397,.380,.419,,.497,.950,,.006,3,,.410,.463,,0,0
2013-14,38,MIA,NBA,SG,73,1936,.442,18.2,,.431,.166,.063,.087,.118,.569,,.530,.622,.471,.511,.438,.375,,.516,.957,,.011,6,,.411,.425,,3,1
