,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
2009-10,21,GSW,NBA,PG,80,2896,.462,16.5,,.668,.190,.074,.113,.290,.332,,.474,.599,.376,.388,.452,.437,,.307,.741,,.000,0,,.179,.574,,6,0
2010-11,22,GSW,NBA,PG,74,2489,.480,16.2,,.675,.169,.117,.109,.280,.325,,.498,.618,.439,.383,.495,.442,,.257,.801,,.004,3,,.240,.549,,4,0
2011-12,23,GSW,NBA,PG,26,732,.490,18.0,,.591,.108,.101,.081,.301,.409,,.514,.563,.267,.292,.640,.455,,.333,.782,,.000,0,,.190,.652,,0,0
2012-13,24,GSW,NBA,PG,78,2983,.451,18.5,,.568,.100,.103,.099,.265,.432,,.449,.583,.343,.457,.438,.453,,.251,.614,,.002,3,,.147,.523,,6,0
2013-14,25,GSW,NBA,PG,78,2846,.471,18.1,,.555,.139,.095,.077,.245,.445,,.509,.625,.412,.557,.466,.424,,.197,.456,,.004,4,,.115,.437,,5,0
2014-15,26,GSW,NBA,PG,80,2613,.487,17.1,,.518,.186,.098,.072,.163,.482,,.528,.687,.458,.515,.394,.443,,.332,.584,,.003,4,,.122,.557,,8,0
2015-16,27,GSW,NBA,PG,79,2700,.504,17.4,,.446,.225,.084,.048,.088,.554,,.566,.696,.422,.447,.443,.454,,.372,.547,,.004,7,,.129,.482,,11,2
2016-17,28,GSW,NBA,PG,79,2638,.468,18.4,,.453,.219,.069,.049,.116,.547,,.537,.642,.400,.451,.455,.411,,.413,.639,,.003,3,,.136,.449,,18,1
2017-18,29,GSW,NBA,PG,51,1631,.495,18.4,,.420,.175,.065,.073,.108,.580,,.595,.669,.429,.540,.613,.423,,.417,.618,,.001,1,,.134,.358,,8,0
2018-19,30,GSW,NBA,PG,69,2331,.472,19.7,,.396,.143,.096,.046,.110,.604,,.525,.649,.488,.419,.439,.437,,.464,.689,,.002,1,,.148,.517,,11,1
2019-20,31,GSW,NBA,PG,5,139,.402,19.8,,.402,.207,.061,.012,.122,.598,,.636,.706,.400,1.000,.600,.245,,.333,.667,,.000,0,,.122,.333,,0,0
2020-21,32,GSW,NBA,PG,63,2152,.482,19.3,,.413,.148,.136,.060,.069,.587,,.569,.663,.532,.549,.457,.421,,.411,.588,,.000,0,,.072,.397,,11,0
2021-22,33,GSW,NBA,PG,27,927,.431,20.2,,.336,.135,.115,.053,.033,.664,,.495,.568,.444,.414,.500,.399,,.374,.607,,.000,0,,.094,.324,,2,0
